"FECHA_DE_AUTORIZACIÓN","TIPO_DE_SOLICITUD","SOLICITANTE/IMPORTADOR","IUM","PRINCIPIO_ACTIVO1","CONCENTRACIÓN_DELMEDICAMENTO1","UNIDAD_MEDIDA1","PRINCIPIO_ACTIVO2","CONCENTRACIÓN_DEL_MEDICAMENTO2","UNIDAD_MEDIDA2","FORMA_FARMACÉUTICA","NOMBRE_COMERCIAL_","CANTIDAD_SOLICITADA","PRESENTACIÓN_COMERCIAL","DIAGNOSTICO_CIE-1NO REPORTA","CÓDIGO_DIAGNOSTICO_CIE-10"
"2026 Jan 14 12:00:00 AM","MÁS DE UN PACIENTE","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1E1023551001101","EPINEFRINA","0.5","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","PENEPIN JUNIOR","10","CAJA X 2 APLICADORES X 0,3 ML","ANAFILAXIA","NO REPORTADO"
"2026 Jan 14 12:00:00 AM","MÁS DE UN PACIENTE","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1E1005681005101","EPINEFRINA","1","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","PENEPIN","28","CAJA X 2 APLICADORES X 0,3 ML","ANAFILAXIA","NO REPORTADO"
"2026 Jan 14 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","1E1029551000102","ETEPLIRSEN","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","EXONDYS 51","96","CAJAS X 1 VIAL X 2 mL","DISTROFIA MUSCULAR","G710"
"2026 Jan 14 12:00:00 AM","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","1E1029551000101","ETEPLIRSEN","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","EXONDYS 51","24","CAJAS X 1 VIAL X 10 mL","DISTROFIA MUSCULAR","G710"
"2026 Jan 14 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1A1001611000100","AMILORIDE","5","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","MODAMIDE","18","CAJAS X 30 TABLETAS","SINDROME DE GITELMAN","N158"
"2026 Jan 14 12:00:00 AM","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1P1012181004100","CLORURO DE POTASIO","1500","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","NO REPORTADO","22","FRASCOS X 100 TABLETAS","SINDROME DE GITELMAN","N158"
"2026 Jan 14 12:00:00 AM","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1A1000141000100","ATALUREN","250","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","TRANSLARNA","24","CAJAS X 30 SOBRES","DISTROFIA MUSCULAR","G710"
"2026 Jan 14 12:00:00 AM","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1A1001711000100","ATALUREN","125","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","TRANSLARNA","6","CAJAS X 30 SOBRES","DISTROFIA MUSCULAR","G710"
"2026 Jan 14 12:00:00 AM","PACIENTE ESPECIFICO","SALUTIS SAS","1A1014981000100","AZTREONAM","75","mg","NO APLICA","NO APLICA","NO APLICA","POLVO PARA NEBULIZAR","CAYSTON","3","CAJAS X 84 VIALES","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2026 Jan 13 12:00:00 AM","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1A1014821003100","AMIODARONA","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10.200","CAJAS X 5 AMPOLLAS DE 3 mL","ARRITMIA CARDIACA, NO ESPECIFICADA","I499"
